execCount post1_u_raw post1_v_raw post2_u_raw post2_v_raw center_u_raw center_v_raw post1_u_filtered post1_v_filtered post2_u_filtered post2_v_filtered center_u_filtered center_v_filtered 
213 1953 1017 1997 -876 1975.0 1017.0 1959.37037037 1024.11111111 1987.56 -870.44 1973.46518519 76.8355555556 
214 1938 1013 1997 -879 1967.5 1013.0 1958.60714286 1023.71428571 1987.92307692 -870.769230769 1973.26510989 76.4725274725 
215 1938 1013 1997 -873 1967.5 1013.0 1957.89655172 1023.34482759 1988.25925926 -870.851851852 1973.07790549 76.2464878672 
216 1945 1017 1991 -876 1968.0 1017.0 1957.46666667 1023.13333333 1988.35714286 -871.035714286 1972.91190476 76.0488095238 
217 1945 1013 1991 -870 1968.0 1013.0 1957.06451613 1022.80645161 1988.44827586 -871.0 1972.756396 75.9032258065 
218 1991 1041 2005 -882 1998.0 1041.0 1958.125 1023.375 1989.0 -871.366666667 1973.5625 76.0041666667 
219 1945 1017 1991 -870 1968.0 1017.0 1957.72727273 1023.18181818 1989.06451613 -871.322580645 1973.39589443 75.9296187683 
220 1977 1033 1991 -873 1984.0 1033.0 1958.21212121 1023.42424242 1989.125 -871.375 1973.66856061 76.0246212121 
221 1961 1025 1947 -851 1954.0 1025.0 1957.48484848 1022.75757576 1987.84848485 -870.757575758 1972.66666667 76.0 
222 1959 1021 2005 -880 1982.0 1021.0 1956.9375 1022.3125 1988.5 -871.125 1972.71875 75.59375 
223 1993 1041 1991 -876 1992.0 1041.0 1958.6875 1023.09375 1988.3125 -871.21875 1973.5 75.9375 
224 1978 1037 1990 -872 1984.0 1037.0 1959.9375 1023.84375 1989.03125 -871.59375 1974.484375 76.125 
225 1993 1041 1991 -873 1992.0 1041.0 1959.58064516 1023.64516129 1988.83870968 -871.516129032 1974.20967742 76.064516129 
226 1944 1020 1975 -864 1959.5 1020.0 1959.51612903 1023.38709677 1988.38709677 -871.35483871 1973.9516129 76.0161290323 
227 1939 1013 1996 -872 1967.5 1013.0 1959.32258065 1023.16129032 1988.5483871 -871.419354839 1973.93548387 75.8709677419 
228 1938 1013 1997 -873 1967.5 1013.0 1958.83870968 1022.93548387 1988.5483871 -871.322580645 1973.69354839 75.8064516129 
229 1931 1006 1947 -851 1939.0 1006.0 1957.93548387 1022.4516129 1986.67741935 -870.322580645 1972.30645161 76.064516129 
230 1977 1029 1991 -870 1984.0 1029.0 1958.9 1022.76666667 1986.53333333 -870.233333333 1972.71666667 76.2666666667 
231 1969 1025 1997 -879 1983.0 1025.0 1959.7 1023.03333333 1986.73333333 -870.433333333 1973.21666667 76.3 
232 1946 1018 1990 -872 1968.0 1018.0 1959.26666667 1022.93333333 1986.2 -870.266666667 1972.73333333 76.3333333333 
233 1985 1037 1997 -876 1991.0 1037.0 1960.06666667 1023.33333333 1986.4 -870.466666667 1973.23333333 76.4333333333 
234 1954 1025 1996 -869 1975.0 1025.0 1959.83333333 1023.46666667 1986.56666667 -870.233333333 1973.2 76.6166666667 
235 1961 1021 1991 -870 1976.0 1021.0 1959.86206897 1023.55172414 1987.48275862 -870.689655172 1973.67241379 76.4310344828 
236 1977 1033 1991 -870 1984.0 1033.0 1959.86206897 1023.68965517 1987.48275862 -870.689655172 1973.67241379 76.5 
237 1983 1032 1981 -867 1982.0 1032.0 1961.17241379 1024.20689655 1987.13793103 -870.586206897 1974.15517241 76.8103448276 
238 1945 1013 2086 -911 2015.5 1013.0 1959.79310345 1023.37931034 1986.78571429 -870.285714286 1973.28940887 76.5467980296 
239 1938 1013 1967 -860 1952.5 1013.0 1958.72413793 1022.82758621 1986.71428571 -870.142857143 1972.71921182 76.342364532 
240 1986 1041 1996 -869 1991.0 1041.0 1959.55172414 1023.48275862 1987.42857143 -870.357142857 1973.49014778 76.5628078818 
241 1962 1022 1976 -869 1969.0 1022.0 1960.37931034 1023.79310345 1988.28571429 -870.785714286 1974.33251232 76.5036945813 
242 1938 1013 1952 -854 1945.0 1013.0 1959.86206897 1023.65517241 1986.67857143 -870.0 1973.2703202 76.8275862069 
243 1991 1041 1960 -857 1975.5 1041.0 1961.68965517 1024.62068966 1985.35714286 -869.214285714 1973.52339901 77.7032019704 
244 1931 1006 1976 -869 1953.5 1006.0 1960.66666667 1024.0 1985.03448276 -869.206896552 1972.85057471 77.3965517241 
245 1985 1033 1967 -860 1976.0 1033.0 1962.23333333 1024.66666667 1984.0 -868.75862069 1973.11666667 77.9540229885 
246 1970 1029 1982 -870 1976.0 1029.0 1963.06666667 1025.06666667 1983.68965517 -868.551724138 1973.37816092 78.2574712644 
247 1977 1029 1961 -863 1969.0 1029.0 1964.13333333 1025.6 1982.65517241 -868.310344828 1973.39425287 78.6448275862 
248 1959 1023 2006 -878 1982.5 1023.0 1963.06666667 1025.0 1982.68965517 -868.172413793 1972.87816092 78.4137931034 
249 1925 1013 1981 -869 1953.0 1013.0 1962.4 1024.86666667 1982.34482759 -868.137931034 1972.37241379 78.3643678161 
