u v u_raw v_raw uestimate vestimate distance angle 
1380.87494583 -55.012804678 1379 19 1455.36930938 -8.70441749729 1381.97034147 -2.28140538946 
1388.16465073 -41.9074053925 1486 -32 1509.21566625 175.71757581 1388.79707955 -1.72918134248 
1388.16465073 -35.6517009724 1483 -30 1388.16465073 72.9031428777 1388.62238975 -1.47118215196 
1386.81181575 -22.2929993306 1510 -22 1373.83500967 105.847744958 1386.99098416 -0.920950309791 
1398.28414239 -18.1976483772 1429 -2 1575.59614811 45.0985699576 1398.40255194 -0.745620692219 
1430.81950202 -10.442949829 1538 -1 1995.29344726 124.097603378 1430.85761086 -0.418170374417 
1444.91023617 -1.03065333145 1610 5 1688.0148798 161.357832672 1444.91060376 -0.0408690273897 
1489.28181179 7.54768603489 1553 17 1943.84967822 95.4291139265 1489.30093752 0.290372748174 
1499.95431341 7.54768603489 1637 28 1668.11974588 7.54768603489 1499.97330306 0.28830671783 
1522.34558435 7.54768603489 1570 29 1861.60699342 7.54768603489 1522.36429469 0.284066256715 
1531.20928678 4.74714298619 1585 36 1648.7938983 -32.4044614161 1531.21664545 0.17763109771 
1534.57992751 15.1465821215 1502 62 1584.099279 167.92865639 1534.65467544 0.565501368852 
1535.09407588 15.1465821215 1487 71 1542.77628397 15.1465821215 1535.16879878 0.565311978025 
1557.4984594 22.4274496186 1587 82 1782.08791611 95.4134380043 1557.65992487 0.824982777211 
1566.30876181 40.4703213877 1556 105 1693.71437009 301.387931904 1566.83151112 1.48008034303 
1581.26992832 52.6577880491 1627 107 1809.08861366 238.240418369 1582.14646251 1.9072989617 
1573.74685733 63.1090957694 1631 123 1469.41477242 208.050799367 1575.01172343 2.29639757364 
1601.01923514 81.8229862197 1634 136 1997.11551037 353.618220028 1603.10872756 2.92565911983 
1606.71758648 90.3755244049 1657 146 1694.06771659 221.477535986 1609.25732502 3.21941172118 
1620.3464615 103.84581072 1701 166 1814.20602019 295.449575271 1623.67072022 3.666993868 
1617.31792327 118.76333371 1557 167 1573.78750954 333.178968365 1621.6725916 4.19982133642 
1610.00383312 127.901768414 1559 171 1498.60084756 267.091864294 1615.07622266 4.5421466023 
