u v u_raw v_raw uestimate vestimate distance angle 
1176.14317604 -125.050965153 1176 -131 1164.65515766 -183.896378262 1182.77238488 -6.06905322103 
1176.56742411 -126.182597252 1182 -134 1183.239471 -143.979501865 1183.31439243 -6.12136761638 
1177.00137759 -129.012143363 1181 -139 1183.9982363 -174.634393298 1184.05083336 -6.25526852446 
1177.89106204 -130.332957111 1192 -147 1190.95214387 -149.723266116 1185.07975839 -6.31405979317 
1179.49574176 -131.565823976 1190 -150 1205.73249588 -151.723382251 1186.81075613 -6.36469805759 
1179.81301951 -132.331750734 1182 -154 1182.95763146 -139.923024992 1187.21120836 -6.39973703058 
1180.76562897 -139.008686049 1190 -158 1195.86281006 -244.826343326 1188.92005003 -6.71438759288 
1181.99879601 -142.592794862 1190 -161 1201.74752759 -199.991022954 1190.56871239 -6.87875029822 
1186.21591915 -149.498339092 1188 -164 1255.15845291 -262.391821263 1195.59941462 -7.18309415112 
1186.95754175 -151.442211144 1196 -169 1196.57046411 -176.638707646 1196.57968779 -7.27100170067 
1190.00581878 -155.681142845 1202 -175 1220.10803559 -197.541262425 1200.14601902 -7.45332588795 
1190.90763179 -159.259250213 1200 -180 1202.90141026 -206.846750749 1201.50925766 -7.61693344211 
1191.90922781 -163.539729146 1198 -183 1208.18324561 -233.08931679 1203.07641085 -7.81266762766 
1191.7674528 -165.250589723 1191 -185 1189.66463268 -190.626232833 1203.16973822 -7.89430153588 
1192.62728391 -169.719426004 1196 -184 1205.28484765 -235.505112823 1204.64290223 -8.09921966044 
1193.42518236 -179.137822536 1188 -183 1204.9180077 -314.799179882 1206.79493923 -8.53658982494 
1194.12308317 -179.98132434 1194 -189 1203.52984045 -191.350585696 1207.6105394 -8.57125165843 
1194.97951864 -181.66145909 1189 -192 1207.01150894 -205.265531775 1208.70878862 -8.64395413878 
1193.93725443 -184.034767764 1184 -197 1179.48829844 -216.936053713 1208.03764977 -8.7626683758 
1192.64200338 -185.210273419 1185 -201 1173.94924401 -202.174895347 1206.9373611 -8.82718792485 
1189.53983503 -187.633505739 1176 -202 1138.42955073 -227.557867876 1204.24721366 -8.9637644397 
1188.49744256 -191.423547388 1176 -209 1172.03441063 -251.28159362 1203.81441488 -9.14967963915 
1187.37726725 -196.177036062 1173 -216 1176.91169148 -240.587938044 1203.47422252 -9.38158820323 
1182.98352222 -197.09482988 1174 -264 1126.35275805 -208.924229378 1199.28995068 -9.45906633776 
1180.46032749 -198.668432645 1172 -276 1144.41751278 -221.146710803 1197.06128954 -9.55320834428 
1178.85346519 -202.831996651 1178 -264 1156.17232306 -261.601430005 1196.1757025 -9.7626479497 
